config,model,cosine_similarity,max_absolute_error,mean_absolute_error,root_mean_squared_error,relative_error,layer_mean_cosine_similarity,layer_mean_mean_absolute_error,delta_cosine_similarity,delta_max_absolute_error,delta_mean_absolute_error,delta_root_mean_squared_error
int8_per_tensor_sym,attention,0.9998829364776611,0.007064793258905411,0.001545526785776019,0.0019386648200452328,0.11788389831781387,0.9999149590730667,0.004600056039635092,-0.00011670589447021484,0.007064793258905411,0.001545526785776019,0.0019386648200452328
int8_per_channel_sym,attention,0.9998729228973389,0.007990993559360504,0.0016378893051296473,0.00205306732095778,0.11025309562683105,0.9999126493930817,0.004638947604689747,-0.00012671947479248047,0.007990993559360504,0.0016378893051296473,0.00205306732095778
int8_per_tensor_asym,attention,0.9997620582580566,0.010949726216495037,0.0021339321974664927,0.0027075547259300947,0.1114829033613205,0.9999028742313385,0.003984815732110292,-0.00023758411407470703,0.010949726216495037,0.0021339321974664927,0.0027075547259300947
int8_per_channel_asym,attention,0.9994651675224304,0.021088343113660812,0.0033262469805777073,0.0043441797606647015,0.1913667619228363,0.9998292475938797,0.004301656852476299,-0.0005344748497009277,0.021088343113660812,0.0033262469805777073,0.0043441797606647015
int4_weight_only,attention,0.9949198961257935,0.050773926079273224,0.010895701125264168,0.013662460260093212,0.7960988879203796,0.9968802332878113,0.027409367728978395,-0.005079746246337891,0.050773926079273224,0.010895701125264168,0.013662460260093212
int8_per_tensor_sym,mlp,0.9996634125709534,0.02259153127670288,0.004149674437940121,0.005202809814363718,0.24317020177841187,0.9997923076152802,0.004973835311830044,-0.0003364086151123047,0.02259153127670288,0.004149674437940121,0.005202809814363718
int8_per_channel_sym,mlp,0.9996619820594788,0.021170616149902344,0.0041032894514501095,0.0051492187194526196,0.25516802072525024,0.9997918009757996,0.004958965349942446,-0.00033783912658691406,0.021170616149902344,0.0041032894514501095,0.0051492187194526196
int8_per_tensor_asym,mlp,0.999890148639679,0.016550332307815552,0.0022954207379370928,0.00293383258394897,0.12339958548545837,0.9999203383922577,0.0034460375318303704,-0.00010967254638671875,0.016550332307815552,0.0022954207379370928,0.00293383258394897
int8_per_channel_asym,mlp,0.9999052882194519,0.014436349272727966,0.0021656686440110207,0.002736874157562852,0.1127513200044632,0.9999279379844666,0.003384067676961422,-9.453296661376953e-05,0.014436349272727966,0.0021656686440110207,0.002736874157562852
int4_weight_only,mlp,0.994826078414917,0.09257733821868896,0.016168298199772835,0.02024933136999607,0.9099358320236206,0.996147483587265,0.024522890336811543,-0.005173742771148682,0.09257733821868896,0.016168298199772835,0.02024933136999607
