model,layer,mode,cosine_similarity,mean_absolute_error
attention,k_proj,weight+act,0.9999936819076538,0.0003547921369317919
attention,k_proj,weight_only,0.9999995231628418,0.00011391131556592882
attention,out_proj,weight+act,0.9997950792312622,0.0017417942872270942
attention,out_proj,weight_only,0.999992847442627,0.00037813556264154613
attention,q_proj,weight+act,0.9999936819076538,0.0003582296194508672
attention,q_proj,weight_only,0.9999991655349731,0.0001226702588610351
attention,v_proj,weight+act,0.9999356269836426,0.0011468224693089724
attention,v_proj,weight_only,0.9999919533729553,0.00040004937909543514
mlp,fc1,weight+act,0.999920129776001,0.0019989083521068096
mlp,fc1,weight_only,0.9999922513961792,0.0006420791614800692
mlp,fc2,weight+act,0.9997349977493286,0.0036646330263465643
mlp,fc2,weight_only,0.9999923706054688,0.0006269729929044843
